,Return,Risk
Buy_and_Hold_df,0.08721181521753249,0.16789624849785734
Simple_Contrarian_df03,0.05796645013792481,0.167946417834515
Neutral_Short_Selling_df04,0.07215155318310305,0.12530088766017353
Buy_or_Short_1Percent_df05,0.17426154085043408,0.16765927241786518
SMA50_sub_SMA200_df08,-0.022887367765056427,0.16765472872537854
SMA50_sub_SMA200_contr_df09,0.022887367765056427,0.16765472872537854
